date,username,text,clean_text
2026-03-16 05:56:28,Kannadi93543434,"@Mahesh10816 @BJP4India Sir, In karnataka we don't reliable with worst Kongress, in that instance JDS is better, but at this movement they can't win independently &amp; also now they are allay in NDA. BJP is also worst in Karnataka, they are busy in adjustment politics. We need to see alternative","Sir, In karnataka we don't reliable with worst Kongress, in that instance JDS is better, but at this movement they can't win independently & also now they are allay in NDA. BJP is also worst in Karnataka, they are busy in adjustment politics. We need to see alternative"
2026-03-16 05:56:27,komkush,@PetroleumMin Please resign immediately. It is a shame that your government is not able to provide cylinders to hostels in @PMOIndia Modi constituency. Modi perhaps doesn't deserve a next chance,Please resign immediately. It is a shame that your government is not able to provide cylinders to hostels in Modi constituency. Modi perhaps doesn't deserve a next chance
2026-03-16 05:56:19,Paradoxica42692,@sidhant Pakistan and Congress leaders are now at the summit of desperation. They are taking matters into their own hands. They want to create an unrest in the country at any cost. https://t.co/vL1qKOzCMG,Pakistan and Congress leaders are now at the summit of desperation. They are taking matters into their own hands. They want to create an unrest in the country at any cost.
2026-03-16 05:56:13,ijustsunil,"@PTI_News Prime Minister Narendra Modi, during his recent visits to the state, countered this narrative by stating that the DMK is  rattled  by the NDA's growing popularity and is using such tactics as a diversion from governance issues.","Prime Minister Narendra Modi, during his recent visits to the state, countered this narrative by stating that the DMK is rattled by the NDA's growing popularity and is using such tactics as a diversion from governance issues."
2026-03-16 05:56:09,WitWicket,@sardesairajdeep 5 crore per MLA and still they say no. Respect to those Congress guys who didn't fold. But let's be real—how many actually say no when the suitcase opens in the next room?,5 crore per MLA and still they say no. Respect to those Congress guys who didn't fold. But let's be real—how many actually say no when the suitcase opens in the next room?
2026-03-16 05:56:05,MultibaggAI,"PM NARENDRA MODI STEPS UP ENGAGEMENT WITH IRAN WHILE BALANCING US TIES AS MIDDLE EAST WAR WORSENS, CREATING ECONOMIC HEADWINDS FOR INDIA, IMPLICATIONS FOR ENERGY, TRADE AND GEOPOLITICAL RISKS","PM NARENDRA MODI STEPS UP ENGAGEMENT WITH IRAN WHILE BALANCING US TIES AS MIDDLE EAST WAR WORSENS, CREATING ECONOMIC HEADWINDS FOR INDIA, IMPLICATIONS FOR ENERGY, TRADE AND GEOPOLITICAL RISKS"
2026-03-16 05:56:01,mishra_abhi,"Three Congress MLAs might do cross voting today, ensuring the win for Shivesh Kumar. He needs support of three MLAs.","Three Congress MLAs might do cross voting today, ensuring the win for Shivesh Kumar. He needs support of three MLAs."
2026-03-16 05:56:01,elkurian,"@INCIndia @ShashiTharoor As a congress follower ,i say ,it's unnecessary and it will become a burden for the state coffers.","As a congress follower ,i say ,it's unnecessary and it will become a burden for the state coffers."
2026-03-16 05:56:00,pushpasehore,He has categorically said: for our India brothers and sisters ( you know they are anti Modi Indians) who have supported us. Indian govt unabashedly taking the credit.,He has categorically said: for our India brothers and sisters ( you know they are anti Modi Indians) who have supported us. Indian govt unabashedly taking the credit.
2026-03-16 05:55:58,heysiswhatup,"I thought only congress had the power to declare war… why is everyone silent on this? 

Not one US or Iranian soldier should die.",I thought only congress had the power to declare war… why is everyone silent on this? Not one US or Iranian soldier should die.
